ano;tipo_ingresso;regime_juridico;genero;grupo_cargo;quantidade_ingressos
2008;Concurso;Estatutário;Feminino;Car.Mag.Ensino Basico Federal Mp/431/08;5
2008;Concurso;Estatutário;Feminino;Car.Mag.Ensino Basico Tec.Tecn.Mp/431/08;39
2008;Concurso;Estatutário;Feminino;Cargo Isolado De Especialista;6
2008;Concurso;Estatutário;Feminino;Cargos Das Agencias Reguladoras;217
2008;Concurso;Estatutário;Feminino;Cargos De Inspecao Do Mapa;36
2008;Concurso;Estatutário;Feminino;Carreira Auditor Fiscal Federal Agrop;62
2008;Concurso;Estatutário;Feminino;Carreira Da Area Juridica;104
2008;Concurso;Estatutário;Feminino;Carreira Da Prev Da Saude E Do Trabalho;281
2008;Concurso;Estatutário;Feminino;Carreira De Assistente De Chancelaria;54
2008;Concurso;Estatutário;Feminino;Carreira De Desenvolvimento Tecnologico;49
2008;Concurso;Estatutário;Feminino;Carreira De Financ E Execucao-Fnde;43
2008;Concurso;Estatutário;Feminino;Carreira De Infra-Estrutura;78
2008;Concurso;Estatutário;Feminino;Carreira De Magisterio Superior;1815
2008;Concurso;Estatutário;Feminino;Carreira De Oficial De Chancelaria;4
2008;Concurso;Estatutário;Feminino;Carreira De Perito Federal Agrario-Incra;21
2008;Concurso;Estatutário;Feminino;Carreira De Perito Medico Federal;93
2008;Concurso;Estatutário;Feminino;Carreira De Pesquisa E Desenvolvim-Inep;44
2008;Concurso;Estatutário;Feminino;Carreira De Policial Rodoviario Federal;2
2008;Concurso;Estatutário;Feminino;Carreira De Refor E Desen Agrario-Incra;58
2008;Concurso;Estatutário;Feminino;Carreira De Suporte Tecnico - Fnde;53
2008;Concurso;Estatutário;Feminino;Carreira De Suporte Tecnico-Inep;9
2008;Concurso;Estatutário;Feminino;Carreira Defensoria Publica;21
2008;Concurso;Estatutário;Feminino;Carreira Des Tec C&T Prod Inov Saude Pub;135
2008;Concurso;Estatutário;Feminino;Carreira Do Dnpm;7
2008;Concurso;Estatutário;Feminino;Carreira Do Seguro Social;880
2008;Concurso;Estatutário;Feminino;Carreira Fiscal Do Trabalho;1
2008;Concurso;Estatutário;Feminino;Carreira Gest C&T Prod Inov Saude Public;67
2008;Concurso;Estatutário;Feminino;Carreira Gest Em Metrol E Qualidade;15
2008;Concurso;Estatutário;Feminino;Carreira Magist Ens Bas Tec Tecnol;169
2008;Concurso;Estatutário;Feminino;Carreira Pesq C&T Prod Inov Saude Public;50
2008;Concurso;Estatutário;Feminino;Carreira Pesq Desen Metrol E Qualidade;23
2008;Concurso;Estatutário;Feminino;Carreira Policial Federal;93
2008;Concurso;Estatutário;Feminino;Carreira Procurador Da Fazenda Nacional;161
2008;Concurso;Estatutário;Feminino;Carreira Sup Tec Ana Inf Geog Estatistic;32
2008;Concurso;Estatutário;Feminino;Carreira Sup Tec C&T Pro Inov Saude Publ;54
2008;Concurso;Estatutário;Feminino;Carreiras De Pesq.Em Cienc.E Tecnologia;3
2008;Concurso;Estatutário;Feminino;Defesa Aerea E Controle De Trafego Aereo;8
2008;Concurso;Estatutário;Feminino;Diplomacia;27
2008;Concurso;Estatutário;Feminino;Especialista Em Meio Ambiente;49
2008;Concurso;Estatutário;Feminino;Estrutura Remun Cargos Esp - Lei 12277;8
2008;Concurso;Estatutário;Feminino;Gestao;2
2008;Concurso;Estatutário;Feminino;Mag.Superior E 1 E 2 Graus Lei 7596/87;390
2008;Concurso;Estatutário;Feminino;Pericia Medica Da Previdencia Social;3
2008;Concurso;Estatutário;Feminino;Planej.Infra-Estrut.Cienc.E Tecnologia;47
2008;Concurso;Estatutário;Feminino;Plano Carreira Cargos Tec Aux Agropec;97
2008;Concurso;Estatutário;Feminino;Plano De Carreira Dos Cargos Tae-Ife;2781
2008;Concurso;Estatutário;Feminino;Plano De Carreiras Da Abin;1
2008;Concurso;Estatutário;Feminino;Plano Especial De Cargos - Suframa;42
2008;Concurso;Estatutário;Feminino;Plano Especial De Cargos Da Cultura;35
2008;Concurso;Estatutário;Feminino;Plano Geral De Cargos Do Poder Executivo;110
2008;Concurso;Estatutário;Feminino;Plano Geral De Cargos Poder Executivo-Ni;71
2008;Concurso;Estatutário;Feminino;Receita Federal Do Brasil;2
2008;Processo Seletivo;Contrato Temporário;Feminino;Car.Mag.Ensino Basico Tec.Tecn.Mp/431/08;242
2008;Processo Seletivo;Contrato Temporário;Feminino;Contrato Temporario Lei 8745/93;1103
2008;Processo Seletivo;Contrato Temporário;Feminino;Mag.Superior E 1 E 2 Graus Lei 7596/87;3720
2008;Concurso;Estatutário;Masculino;Car.Mag.Ensino Basico Federal Mp/431/08;4
2008;Concurso;Estatutário;Masculino;Car.Mag.Ensino Basico Tec.Tecn.Mp/431/08;63
2008;Concurso;Estatutário;Masculino;Cargo Isolado - Pcc Mag Federal;1
2008;Concurso;Estatutário;Masculino;Cargo Isolado De Especialista;56
2008;Concurso;Estatutário;Masculino;Cargos Das Agencias Reguladoras;604
2008;Concurso;Estatutário;Masculino;Cargos De Inspecao Do Mapa;35
2008;Concurso;Estatutário;Masculino;Cargos De Nivel Intermediario- Cvm/Susep;1
2008;Concurso;Estatutário;Masculino;Carreira Advocacia Da Uniao;1
2008;Concurso;Estatutário;Masculino;Carreira Auditor Fiscal Federal Agrop;63
2008;Concurso;Estatutário;Masculino;Carreira Da Area Juridica;149
2008;Concurso;Estatutário;Masculino;Carreira Da Prev Da Saude E Do Trabalho;184
2008;Concurso;Estatutário;Masculino;Carreira De Assistente De Chancelaria;46
2008;Concurso;Estatutário;Masculino;Carreira De Desenvolvimento Tecnologico;9
2008;Concurso;Estatutário;Masculino;Carreira De Financ E Execucao-Fnde;46
2008;Concurso;Estatutário;Masculino;Carreira De Infra-Estrutura;268
2008;Concurso;Estatutário;Masculino;Carreira De Magisterio Superior;1980
2008;Concurso;Estatutário;Masculino;Carreira De Oficial De Chancelaria;4
2008;Concurso;Estatutário;Masculino;Carreira De Perito Federal Agrario-Incra;90
2008;Concurso;Estatutário;Masculino;Carreira De Perito Medico Federal;140
2008;Concurso;Estatutário;Masculino;Carreira De Pesq Em Propried Industrial;1
2008;Concurso;Estatutário;Masculino;Carreira De Pesquisa E Desenvolvim-Inep;42
2008;Concurso;Estatutário;Masculino;Carreira De Policial Rodoviario Federal;8
2008;Concurso;Estatutário;Masculino;Carreira De Refor E Desen Agrario-Incra;104
2008;Concurso;Estatutário;Masculino;Carreira De Suporte Tecnico - Fnde;73
2008;Concurso;Estatutário;Masculino;Carreira De Suporte Tecnico-Inep;16
2008;Concurso;Estatutário;Masculino;Carreira Defensoria Publica;51
2008;Concurso;Estatutário;Masculino;Carreira Des Tec C&T Prod Inov Saude Pub;73
2008;Concurso;Estatutário;Masculino;Carreira Do Dnpm;20
2008;Concurso;Estatutário;Masculino;Carreira Do Seguro Social;1124
2008;Concurso;Estatutário;Masculino;Carreira Gest C&T Prod Inov Saude Public;40
2008;Concurso;Estatutário;Masculino;Carreira Gest Em Metrol E Qualidade;29
2008;Concurso;Estatutário;Masculino;Carreira Magist Ens Bas Tec Tecnol;255
2008;Concurso;Estatutário;Masculino;Carreira Penitenciaria Federal;1
2008;Concurso;Estatutário;Masculino;Carreira Pesq C&T Prod Inov Saude Public;26
2008;Concurso;Estatutário;Masculino;Carreira Pesq Desen Metrol E Qualidade;62
2008;Concurso;Estatutário;Masculino;Carreira Policial Federal;608
2008;Concurso;Estatutário;Masculino;Carreira Procurador Da Fazenda Nacional;207
2008;Concurso;Estatutário;Masculino;Carreira Sup Tec Ana Inf Geog Estatistic;99
2008;Concurso;Estatutário;Masculino;Carreira Sup Tec C&T Pro Inov Saude Publ;31
2008;Concurso;Estatutário;Masculino;Carreiras De Pesq.Em Cienc.E Tecnologia;2
2008;Concurso;Estatutário;Masculino;Defesa Aerea E Controle De Trafego Aereo;70
2008;Concurso;Estatutário;Masculino;Diplomacia;71
2008;Concurso;Estatutário;Masculino;Especialista C&T Prod Inov Saude Publica;1
2008;Concurso;Estatutário;Masculino;Especialista Em Meio Ambiente;41
2008;Concurso;Estatutário;Masculino;Especialista Em Metrol E Qualid Senior;2
2008;Concurso;Estatutário;Masculino;Estrutura Remun Cargos Esp - Lei 12277;15
2008;Concurso;Estatutário;Masculino;Gestao;11
2008;Concurso;Estatutário;Masculino;Mag.Superior E 1 E 2 Graus Lei 7596/87;535
2008;Concurso;Estatutário;Masculino;Pericia Medica Da Previdencia Social;4
2008;Concurso;Estatutário;Masculino;Planej.Infra-Estrut.Cienc.E Tecnologia;52
2008;Concurso;Estatutário;Masculino;Plano Carreira Cargos Tec Aux Agropec;116
2008;Concurso;Estatutário;Masculino;Plano De Cargos De Juiz Do Trib Maritimo;2
2008;Concurso;Estatutário;Masculino;Plano De Carreira Dos Cargos Tae-Ife;2503
2008;Concurso;Estatutário;Masculino;Plano De Carreiras Da Abin;3
2008;Concurso;Estatutário;Masculino;Plano Esp De Cargos Do Minist Da Fazenda;2
2008;Concurso;Estatutário;Masculino;Plano Especial De Cargos - Suframa;73
2008;Concurso;Estatutário;Masculino;Plano Especial De Cargos Da Cultura;16
2008;Concurso;Estatutário;Masculino;Plano Geral De Cargos Do Poder Executivo;102
2008;Concurso;Estatutário;Masculino;Plano Geral De Cargos Poder Executivo-Ni;99
2008;Concurso;Estatutário;Masculino;Receita Federal Brasil;2
2008;Concurso;Estatutário;Masculino;Receita Federal Do Brasil;2
2008;Processo Seletivo;Contrato Temporário;Masculino;Car.Mag.Ensino Basico Tec.Tecn.Mp/431/08;136
2008;Processo Seletivo;Contrato Temporário;Masculino;Contrato Temporario Lei 8745/93;2026
2008;Processo Seletivo;Contrato Temporário;Masculino;Mag.Superior E 1 E 2 Graus Lei 7596/87;3038
2009;Concurso;Estatutário;Feminino;Car.Mag.Ensino Basico Tec.Tecn.Mp/431/08;39
2009;Concurso;Estatutário;Feminino;Cargo Isolado - Pcc Mag Federal;1
2009;Concurso;Estatutário;Feminino;Cargos Da Cvm/Susep;2
2009;Concurso;Estatutário;Feminino;Cargos Das Agencias Reguladoras;184
2009;Concurso;Estatutário;Feminino;Cargos De Inspecao Do Mapa;6
2009;Concurso;Estatutário;Feminino;Cargos De Nivel Intermediario- Cvm/Susep;9
2009;Concurso;Estatutário;Feminino;Cargos De Nivel Medio;1
2009;Concurso;Estatutário;Feminino;Carreira Advocacia Da Uniao;57
2009;Concurso;Estatutário;Feminino;Carreira Auditor Fiscal Federal Agrop;3
2009;Concurso;Estatutário;Feminino;Carreira Da Area Juridica;51
2009;Concurso;Estatutário;Feminino;Carreira Da Prev Da Saude E Do Trabalho;4777
2009;Concurso;Estatutário;Feminino;Carreira De Assistente De Chancelaria;36
2009;Concurso;Estatutário;Feminino;Carreira De Desenvolvimento Tecnologico;38
2009;Concurso;Estatutário;Feminino;Carreira De Financ E Execucao-Fnde;34
2009;Concurso;Estatutário;Feminino;Carreira De Infra-Estrutura;16
2009;Concurso;Estatutário;Feminino;Carreira De Magisterio Superior;3831
2009;Concurso;Estatutário;Feminino;Carreira De Oficial De Chancelaria;51
2009;Concurso;Estatutário;Feminino;Carreira De Perito Medico Federal;2
2009;Concurso;Estatutário;Feminino;Carreira De Pesq Em Propried Industrial;20
2009;Concurso;Estatutário;Feminino;Carreira De Pesq Inf Geog E Estatística;2
2009;Concurso;Estatutário;Feminino;Carreira De Pesquisa E Desenvolvim-Inep;42
2009;Concurso;Estatutário;Feminino;Carreira De Plan Gest E Inf Est Prop Ind;4
2009;Concurso;Estatutário;Feminino;Carreira De Policial Rodoviario Federal;31
2009;Concurso;Estatutário;Feminino;Carreira De Sup Tec Em Prop Industrial;3
2009;Concurso;Estatutário;Feminino;Carreira De Suporte Tecnico - Fnde;58
